PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW
911	466	202.795	-1.73029	96	0	0.0836522	1.57967e-05	0	227.765	6.82604	29.5429	0.0395813	0	0	500	0	331.992	77.8953	300	0	244.901	77.15	16.095	1.90557	1.40899	0.510744	-0.532892	0.510744	1.14452
583	391	212.885	4.86884	96	0	0.0952384	1.87725e-05	0	186.825	7.69963	20.6601	0.0255702	0	0	145.976	16.0297	195.14	10.4577	27.8772	14.9281	11.3328	11.7682	9.42524	1.73786	-6.82342	0.756051	-8.59675	0.756051	-1.77292
504	540	157.246	3.12434	96	0	0.0725595	1.64022e-05	0	326.715	8.76476	34.788	0.0441006	0	0	500	-0	268.147	29.8731	242.404	45.2973	161.265	29.3888	24.4901	2.3017	0.0932494	0.375564	-1.38405	0.375564	-0.648731
589	56	226.549	3.14257	96	0	0.0424668	1.28536e-05	0	261.638	5.70181	37.5053	0.0448304	0	0	500	0	348.81	89.8096	300	0	300	0	36.8758	3.24794	2.30021	0.403798	0.545713	0.403798	3.1608
511	483	170.386	2.88726	96	0	0.048832	1.13438e-05	0	256.914	5.17897	41.1331	0.046641	0	0	500	0	423.728	93.4269	300	0	300	0	35.1361	2.66718	1.79585	0.304174	0.0465199	0.304174	3.82424
592	60	231.988	3.37415	96	0	0.0840444	1.75945e-05	0	251.165	7.56582	29.6704	0.0584125	0	0	500	-0	113.1	20.7799	300	-0	29.5008	18.3765	12.836	2.26308	1.93226	0.706091	0.178355	0.706091	1.09857
1228	588	181.347	10.3795	96	0	0.0948768	1.76892e-05	0	265.309	8.1957	28.378	0.0197938	0	0	500	-0	500	-0	300	-0	300	-0	16.0391	1.80629	2.277	0.484399	0.0603761	0.484399	4.18076
1195	276	139.967	7.02659	96	0	0.0792737	1.7831e-05	0	231.761	8.05193	25.6989	0.0417729	0	0	500	-0	269.029	59.2597	300	-0	300	-0	13.4021	2.2297	-0.121125	0.610932	-2.03491	0.610932	-1.74978
844	280	183.737	5.04247	96	0	0.0789634	1.94092e-05	0	145.751	9.13678	17.1257	0.0205697	0	0	151.131	13.9074	140.562	8.38747	-7.86285	12.9208	0.883106	8.3213	6.47842	2.18737	-8.40853	1.19461	-9.34493	1.19461	-2.35862
1228	498	180.355	10.6379	96	0	0.0623814	1.32159e-05	0	204.639	5.51133	33.8519	0.0257729	0	0	124.538	40.8546	148.303	42.8079	75.0751	36.6057	130.095	40.9411	28.0737	2.26063	1.91128	0.359157	-0.393062	0.359157	1.90905
578	396	159.77	4.64748	96	0	0.0687067	1.50446e-05	0	265.021	7.03547	34.1866	0.0275796	0	0	500	-0	500	-0	300	-0	300	-0	17.2686	1.88385	1.18658	0.476819	-0.457478	0.476819	1.81737
568	157	141.653	3.46055	96	0	0.0884457	1.69938e-05	0	240.245	7.99815	29.6588	0.0344488	0	0	500	-0	500	-0	300	-0	300	-0	13.135	1.88979	0.580739	0.577616	-0.657946	0.577616	1.41486
841	348	178.433	5.54717	64	0	0.0806779	2.59154e-05	0	78.0676	8.90809	13.3198	0.0166315	0	0	55.3719	7.08745	48.0756	12.1622	22.6774	5.09295	25.8047	8.09081	5.11264	1.54599	-0.979391	1.20449	-3.09029	1.20449	-2.55753
506	351	159.831	2.32177	96	0	0.0828007	1.63581e-05	0	278.764	7.49345	31.1799	0.03353	0	0	500	-0	410.272	127.537	300	-0	300	-0	13.775	1.59163	2.64943	0.514751	0.600918	0.514751	5.34674
474	223	140.652	-0.409027	96	0	0.0540149	1.43514e-05	0	237.393	5.88327	34.7437	0.0287962	0	0	500	-0	500	-0	300	-0	300	-0	17.1273	1.78478	1.62375	0.454013	-0.455849	0.454013	-0.377722
590	217	227.498	3.00307	96	0	0.0920199	1.86273e-05	0	270.097	8.66176	28.5169	0.0429987	0	0	500	0	484.072	108.207	300	0	300	0	14.5309	1.99902	1.13364	0.555832	-0.487086	0.555832	0.329674
849	56	196.226	3.82448	96	0	0.0409963	1.12946e-05	0	108.379	5.6662	31.4939	0.0292114	0	0	74.0449	0.972715	78.0657	1.90579	-2.81765	0.891867	-6.07435	1.63635	32.237	4.93134	-2.86022	0.465921	-3.78376	0.465921	-0.992245
268	354	148.408	0.588784	96	0	0.0917737	1.98809e-05	0	274.077	8.34038	28.8997	0.0524572	0	0	476.895	69.7922	334.121	43.3198	-24.4714	61.5868	122.989	45.574	12.0635	1.86903	-0.131121	0.590931	-2.21222	0.590931	1.62746
341	550	200.759	-1.7114	96	0	0.0852151	1.51923e-05	0	197.561	6.49823	27.3287	0.0300584	0	0	500	-0	156.758	42.245	300	-0	-90.4413	39.4132	10.3952	1.76864	1.3992	0.643237	-0.951707	0.643237	1.52371
