MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
11.1511	11.0535	11.2525	10.9793	11.3591	11.1567	11.1663
11.2377	11.1491	11.3242	11.0748	11.4035	11.25	11.2491
10.7742	10.6821	10.8719	10.6088	10.9483	10.7833	10.7876
11.2307	11.1379	11.3182	11.0705	11.4036	11.25	11.2424
11.338	11.249	11.4291	11.174	11.5202	11.3433	11.3511
11.5729	11.4815	11.6582	11.4062	11.7425	11.6233	11.5836
10.9114	10.8222	10.9985	10.748	11.0795	10.9233	10.9229
11.3415	11.2493	11.4232	11.1824	11.4995	11.3667	11.3508
11.2697	11.172	11.3611	11.1032	11.4558	11.2967	11.2813
11.3471	11.2585	11.4269	11.1838	11.4938	11.3667	11.3556
11.1042	11.0147	11.1934	10.9433	11.2783	11.1333	11.1167
11.7073	11.6213	11.7852	11.5406	11.8505	11.7167	11.7157
11.3237	11.2293	11.416	11.158	11.5254	11.3433	11.3375
10.9794	10.8841	11.0626	10.8154	11.1468	11.0167	10.9891
10.9131	10.8147	11.0137	10.7329	11.1217	10.9233	10.9274
11.1652	11.0745	11.2429	10.9983	11.3264	11.2033	11.1741
11.3643	11.2668	11.4495	11.1872	11.5454	11.4133	11.3735
10.6663	10.5734	10.7563	10.4937	10.8439	10.6433	10.678
11.1629	11.0715	11.2532	10.9968	11.3557	11.18	11.1767
10.9773	10.8839	11.0577	10.8148	11.1306	11.0167	10.9856
11.2795	11.1914	11.3664	11.1214	11.4604	11.2967	11.2928
11.3151	11.2252	11.4072	11.1493	11.5014	11.32	11.3287
11.1642	11.0732	11.2422	10.9977	11.3227	11.2033	11.173
11.1101	11.0268	11.1682	10.9456	11.2207	11.1567	11.1119
11.3153	11.2227	11.4004	11.1574	11.4809	11.3433	11.3257
11.2912	11.1963	11.3806	11.121	11.5035	11.32	11.3045
10.9306	10.839	11.0176	10.766	11.1084	10.9467	10.9423
11.4192	11.3259	11.5106	11.2471	11.6053	11.4367	11.4315
11.5758	11.4903	11.658	11.4165	11.7675	11.6233	11.5892
11.254	11.1652	11.34	11.0918	11.4211	11.2733	11.2655
11.3513	11.2604	11.4262	11.1858	11.5064	11.3667	11.3596
10.8018	10.7004	10.9075	10.6175	11.0204	10.7833	10.817
11.2958	11.1994	11.391	11.1172	11.492	11.32	11.309
11.1405	11.0509	11.2267	10.9776	11.3065	11.1567	11.1517
11.5185	11.4281	11.5928	11.3522	11.6659	11.5533	11.5257
11.04	10.947	11.1242	10.8801	11.2018	11.0633	11.0499
11.1652	11.071	11.2415	10.9999	11.3158	11.2033	11.1718
10.8876	10.7976	10.9713	10.7233	11.0551	10.9233	10.8982
11.3374	11.2429	11.4182	11.1696	11.501	11.3667	11.346
11.2275	11.1376	11.3115	11.0638	11.3883	11.2733	11.2375
10.9482	10.8572	11.0329	10.7835	11.1093	10.9933	10.958
10.8243	10.7321	10.9063	10.6586	10.9874	10.8533	10.8334
11.4335	11.3439	11.5189	11.2698	11.6039	11.4133	11.4451
11.2631	11.1751	11.348	11.0998	11.4241	11.2733	11.274
11.5607	11.4702	11.6383	11.394	11.7011	11.5767	11.5676
11.5092	11.4263	11.5827	11.3537	11.6667	11.53	11.5193
11.1389	11.0472	11.2225	10.9787	11.2974	11.1567	11.1491
11.2181	11.1228	11.3079	11.0527	11.4052	11.25	11.2302
11.3932	11.3042	11.476	11.23	11.5523	11.4367	11.4032
11.3096	11.2191	11.3989	11.1441	11.4866	11.32	11.322
10.8753	10.787	10.962	10.7115	11.0419	10.8767	10.8868
11.4912	11.3971	11.5695	11.3148	11.6695	11.5067	11.5
11.8519	11.757	11.9238	11.6662	12.03	11.88	11.8581
11.3576	11.2654	11.4472	11.1907	11.5443	11.39	11.3705
11.3118	11.2206	11.3936	11.1492	11.4656	11.3433	11.3207
11.6505	11.5512	11.7369	11.4787	11.8278	11.6933	11.6597
11.766	11.6756	11.8343	11.592	11.8917	11.81	11.7695
11.6904	11.5961	11.7801	11.5309	11.8745	11.6933	11.7028
11.4985	11.4044	11.5719	11.3215	11.6515	11.53	11.5044
11.4865	11.3949	11.5723	11.3217	11.6611	11.53	11.4974
11.7109	11.6182	11.7896	11.5405	11.8654	11.7633	11.7183
11.435	11.3342	11.536	11.2575	11.6451	11.4833	11.4493
11.3444	11.251	11.4153	11.1692	11.475	11.3667	11.3477
-1	-1	-1	-1	-1	-1	-1
11.0828	10.9896	11.1775	10.9194	11.2819	11.11	11.0973
-1	-1	-1	-1	-1	-1	-1
11.4565	11.3748	11.5239	11.299	11.5941	11.4833	11.4638
11.567	11.476	11.6632	11.3924	11.7632	11.53	11.5834
11.3674	11.2765	11.4603	11.2004	11.5626	11.3667	11.3813
11.0507	10.9591	11.1313	10.8837	11.2016	11.11	11.059
11.9359	11.8352	12.0141	11.7665	12.1121	11.88	11.9431
11.5266	11.4371	11.5999	11.3634	11.682	11.5533	11.5348
11.3254	11.2452	11.4167	11.1559	11.5276	11.32	11.3413
11.1085	11.018	11.1946	10.9468	11.2726	11.1333	11.1191
11.1998	11.1075	11.2927	11.031	11.3881	11.2033	11.213
11.5728	11.4819	11.6589	11.4136	11.7373	11.6	11.5837
11.5857	11.4972	11.6637	11.427	11.7439	11.6233	11.5955
11.1513	11.063	11.2312	10.9938	11.3125	11.2033	11.1619
11.4479	11.3556	11.5275	11.2791	11.6122	11.4833	11.4571
11.0938	11.0002	11.186	10.933	11.2795	11.1333	11.107
11.2831	11.192	11.3723	11.1158	11.4657	11.2733	11.2954
11.1393	11.0419	11.2372	10.9721	11.3503	11.1567	11.1534
11.0743	10.985	11.159	10.9099	11.2344	11.0867	11.0849
11.0927	11.0012	11.1776	10.9241	11.2625	11.1567	11.1027
10.8144	10.7215	10.9053	10.6349	10.9887	10.7833	10.8255
11.3535	11.2621	11.4359	11.1898	11.5075	11.3667	11.3628
11.5935	11.5124	11.6648	11.4413	11.7322	11.6233	11.602
11.6899	11.6018	11.7589	11.5304	11.8245	11.7167	11.6957
11.3458	11.2566	11.4282	11.1819	11.5024	11.3433	11.3553
11.3932	11.3045	11.4771	11.2354	11.5645	11.4367	11.4054
-1	-1	-1	-1	-1	-1	-1
11.326	11.232	11.4213	11.1598	11.5225	11.3433	11.3399
11.3519	11.2557	11.4415	11.1813	11.5387	11.4133	11.3626
