MEDIAN	P16	P84	P2P5	P97P5	MODE	AVG
10.3334	10.2455	10.4157	10.1746	10.4931	10.3867	10.344
9.6415	9.54905	9.73405	9.46488	9.82537	9.71	9.65339
10.5651	10.4722	10.6542	10.4042	10.7394	10.5967	10.5772
10.6736	10.5817	10.7651	10.5079	10.8587	10.69	10.6865
10.6054	10.515	10.6913	10.4395	10.7778	10.5967	10.6167
10.2326	10.145	10.3169	10.07	10.3921	10.2467	10.2437
10.6135	10.5263	10.7003	10.4514	10.7784	10.62	10.6252
10.6026	10.5086	10.6898	10.4382	10.774	10.62	10.6133
10.4066	10.3169	10.4927	10.2483	10.5858	10.4567	10.4193
10.5391	10.4483	10.6234	10.3759	10.7018	10.5733	10.5492
10.6883	10.5984	10.7776	10.5266	10.863	10.7133	10.7005
10.5031	10.4088	10.5929	10.3406	10.6845	10.5267	10.5147
10.441	10.3458	10.529	10.2786	10.6206	10.4567	10.4526
10.1773	10.0833	10.2793	10.0089	10.3838	10.1767	10.194
10.4255	10.3417	10.5035	10.2725	10.5964	10.4567	10.4372
10.541	10.4519	10.6249	10.3756	10.7039	10.55	10.5515
10.0041	9.91603	10.0797	9.83726	10.1431	10.06	10.0114
10.3161	10.2247	10.4091	10.1482	10.5101	10.34	10.3299
10.3176	10.2267	10.4147	10.1525	10.5137	10.3167	10.333
10.5666	10.4827	10.6595	10.4133	10.7563	10.5733	10.583
10.7508	10.6631	10.8398	10.5869	10.9232	10.76	10.7634
10.6113	10.5202	10.6928	10.4495	10.8132	10.6433	10.6235
10.4878	10.3992	10.56	10.3185	10.621	10.5267	10.4937
10.4532	10.3611	10.5477	10.2921	10.6471	10.4567	10.4677
10.5824	10.4916	10.6697	10.4187	10.7897	10.5967	10.5965
10.4241	10.3198	10.5454	10.2393	10.683	10.4333	10.4439
10.5394	10.4477	10.6184	10.3722	10.7095	10.5733	10.5493
10.7133	10.6318	10.794	10.5626	10.8823	10.7133	10.7262
10.015	9.92688	10.0975	9.85437	10.1764	10.06	10.026
10.0038	9.91677	10.0886	9.84279	10.1657	9.99	10.0153
10.1907	10.0919	10.2911	10.0167	10.3946	10.2233	10.2046
10.6994	10.606	10.7894	10.5271	10.8761	10.7133	10.711
10.3867	10.2957	10.476	10.225	10.5638	10.41	10.3991
10.4207	10.3315	10.5004	10.2605	10.578	10.48	10.4308
10.3587	10.2657	10.4515	10.1979	10.5467	10.3867	10.3718
10.1861	10.094	10.2719	10.0252	10.3526	10.2	10.197
10.2991	10.2081	10.3886	10.1337	10.4859	10.34	10.3121
10.6385	10.5381	10.7378	10.4603	10.8686	10.6433	10.6542
10.5331	10.4439	10.6147	10.3747	10.6983	10.5733	10.5439
10.1951	10.1024	10.2743	10.0299	10.3513	10.2233	10.2032
9.85777	9.76512	9.93854	9.69449	10.0214	9.89667	9.86707
10.4032	10.3096	10.5016	10.2282	10.5976	10.41	10.4177
10.6068	10.5163	10.6868	10.4466	10.7674	10.6433	10.6163
10.7048	10.6013	10.801	10.5184	10.9408	10.7367	10.7164
10.3263	10.2474	10.4009	10.1783	10.4781	10.3633	10.3372
10.4125	10.3206	10.491	10.2476	10.5595	10.4333	10.4198
10.6114	10.5153	10.7015	10.4471	10.7998	10.6433	10.6238
10.6375	10.5564	10.7213	10.4823	10.8319	10.6433	10.6521
10.4248	10.3341	10.5142	10.2575	10.6016	10.4333	10.437
10.2227	10.136	10.3109	10.0614	10.3929	10.2233	10.2354
10.572	10.4807	10.6665	10.4073	10.767	10.5733	10.5863
10.8002	10.7036	10.8851	10.6223	11.0068	10.83	10.8114
