PLATEID	FIBERID	RA	DEC	PRIMTARGET	SECTARGET	Z	Z_ERR	Z_WARNING	V_DISP	V_DISP_ERR	SN_MEDIAN	E_BV_SFD	ZTWEAK	ZTWEAK_ERR	SIGMA_BALMER	SIGMA_BALMER_ERR	SIGMA_FORBIDDEN	SIGMA_FORBIDDEN_ERR	V_OFF_BALMER	V_OFF_BALMER_ERR	V_OFF_FORBIDDEN	V_OFF_FORBIDDEN_ERR	OII_3726_CONT	OII_3726_CONT_ERR	OII_3726_REQW	OII_3726_REQW_ERR	OII_3726_EQW	OII_3726_EQW_ERR	OII_3726_SEQW	OII_3726_SEQW_ERR	OII_3729_FLUX	OII_3729_FLUX_ERR	NEIII_3869_FLUX	NEIII_3869_FLUX_ERR	H_DELTA_FLUX	H_DELTA_FLUX_ERR	H_BETA_FLUX	H_BETA_FLUX_ERR	H_BETA_CONT	H_BETA_CONT_ERR	H_BETA_REQW	H_BETA_REQW_ERR	H_BETA_EQW	H_BETA_EQW_ERR	OIII_5007_CONT	OIII_5007_CONT_ERR	OIII_5007_REQW	OIII_5007_REQW_ERR	OIII_5007_EQW	OIII_5007_EQW_ERR	OIII_5007_FLUX	OIII_5007_FLUX_ERR	OI_6300_CONT	OI_6300_CONT_ERR	OI_6300_REQW	OI_6300_REQW_ERR	OI_6300_EQW	OI_6300_EQW_ERR	OI_6300_FLUX	OI_6300_FLUX_ERR	H_ALPHA_CONT	H_ALPHA_CONT_ERR	H_ALPHA_REQW	H_ALPHA_REQW_ERR	H_ALPHA_EQW	H_ALPHA_EQW_ERR	H_ALPHA_FLUX	H_ALPHA_FLUX_ERR	NII_6584_CONT	NII_6584_CONT_ERR	NII_6584_REQW	NII_6584_REQW_ERR	NII_6584_EQW	NII_6584_EQW_ERR	NII_6584_FLUX	NII_6584_FLUX_ERR	SII_6717_CONT	SII_6717_CONT_ERR	SII_6717_REQW	SII_6717_REQW_ERR	SII_6717_EQW	SII_6717_EQW_ERR	SII_6717_FLUX	SII_6717_FLUX_ERR	SII_6731_CONT	SII_6731_CONT_ERR	SII_6731_REQW	SII_6731_REQW_ERR	SII_6731_EQW	SII_6731_EQW_ERR	SII_6731_FLUX	SII_6731_FLUX_ERR	H_BETA_ABS	H_BETA_ABS_MODEL	H_ALPHA_ABS	H_ALPHA_ABS_MODEL	CA_K_ABS	CA_H_ABS	NA_D_ABS	OII_SIGMA	OII_FLUX	OII_FLUX_ERR	OII_VOFF	OII_CHI2	OIII_SIGMA	OIII_FLUX	OIII_FLUX_ERR	OIII_VOFF	OIII_CHI2	SPECTOFIBER
842	581	182.57	5.38603	6240	0	0.0761677	1.99989e-05	0	249.374	8.79526	27.8278	0.0185455	0	0	500	-0	125.73	37.7055	300	-0	-57.3157	33.9207	15.9313	2.00246	1.40909	0.499545	-0.462657	0.499545	0.00949961	0.47043	-12.0377	6.34153	2.93661	4.05561	7.20485	7.74535	1.52199	8.0281	41.1813	1.44621	1.83725	0.162052	-0.0402809	0.162052	39.2914	1.27204	0.675671	0.172522	-0.191977	0.172522	4.93967	4.36491	43.5919	0.794105	-0.0921599	0.138611	-0.0152073	0.138611	-1.29166	4.32983	44.9884	1.09004	0.929708	0.135397	-0.555623	0.135397	39.1576	9.33902	44.8965	0.971793	-0.394465	0.141606	-0.465282	0.141606	5.5957	4.89911	43.5999	1.11726	-0.25818	0.14885	-0.389611	0.14885	11.1021	4.97506	43.4889	1.12356	-0.0531626	0.170618	-0.0163679	0.170618	-1.49116	5.98239	1.83725	2.07558	1.41671	1.55195	6.53069	4.75785	3.76153	500	5.90261	39.5072	300	1.50477	1	4.44574	2.83152	247.212	1.16896	0.783372
271	110	154.934	-0.638366	96	0	0.0935744	2.15929e-05	0	265.681	10.021	25.2115	0.0526983	0	0	1	-0	500	-0	-14.7665	27.9532	99.4596	138.119	10.6369	2.02706	2.35725	0.864768	1.10355	0.864768	1.89314	1.48342	-26.4187	32.1799	-6.94418	7.49282	-2.41542	2.96241	6.28253	2.62504	34.1053	1.17112	1.73525	0.179873	-0.181422	0.179873	33.0972	1.1161	1.01199	0.189349	-0.335831	0.189349	12.6554	7.60494	37.0231	0.830927	-0.259527	0.152156	-0.0825115	0.152156	5.89882	7.74045	38.6312	0.723469	1.19273	0.137565	-0.19584	0.137565	-0.34911	2.49882	38.5639	0.716129	0.0232726	0.142037	-0.135547	0.142037	15.183	7.17079	37.5569	1.26294	-0.169792	0.190868	-0.384689	0.190868	18.1715	12.9169	37.4718	1.12369	0.00551631	0.179697	-0.00653772	0.179697	-17.0196	12.436	1.73525	1.96234	1.19273	1.29586	5.50693	5.27689	3.98169	464.529	-16.2347	380.207	224.216	0.398329	411.8	9.19734	7.53743	-300	0.668684	0.745164
503	598	155.632	2.3608	96	0	0.0728156	1.16188e-05	0	249.409	5.2775	41.2284	0.0427914	0	0	500	-0	500	-0	300	-0	78.4062	92.1335	19.9695	1.75189	1.74062	0.358388	-0.351728	0.358388	2.51351	0.635324	-1.06479	24.4431	-19.9855	6.42533	13.976	6.98054	24.7839	7.42091	55.7127	1.27715	1.6655	0.110997	-0.314789	0.110997	53.9023	1.30223	0.734361	0.1156	-0.37881	0.1156	27.6381	7.5875	60.4892	0.718159	-0.231734	0.0976938	-0.191916	0.0976938	17.1419	8.08951	62.8185	0.83699	1.06004	0.0942698	-0.375015	0.0942698	23.7999	11.8745	62.6167	0.846776	-0.196835	0.102415	-0.338323	0.102415	19.4431	11.464	60.6656	1.13265	0.5128	0.0989541	0.358629	0.0989541	-30.8997	12.2	60.5677	1.21737	0.108548	0.101044	0.159318	0.101044	-7.92272	12.8401	1.97237	2.10715	1.06004	1.38179	7.04859	6.34797	4.17057	500	2.09403	34.5838	300	1.154	500	26.59	7.53742	300	0.726382	0.747345
295	628	199.136	0.870285	96	0	0.0798575	1.74333e-05	0	212.241	6.73617	27.2777	0.0291613	0	0	500	-0	149.924	25.4328	300	-0	110.685	23.8129	11.4533	3.24472	-0.0356315	0.792498	-1.99194	0.792498	-1.89357	0.80636	-4.6374	7.68585	10.8177	4.58405	-8.11354	7.56294	25.4825	7.15122	34.0661	1.55207	1.31391	0.174627	-0.410876	0.174627	33.0667	1.50529	0.617723	0.176401	-0.539543	0.176401	9.76231	4.0528	37.1935	0.688574	-0.34928	0.131273	-0.245855	0.131273	9.74432	3.98529	38.7293	1.31805	0.439374	0.125362	-0.934082	0.125362	58.171	7.37451	38.4803	1.25335	-1.30824	0.129497	-1.24239	0.129497	27.0094	4.56919	37.5136	0.956837	0.0299842	0.150881	-0.155968	0.150881	5.73081	4.25605	37.598	1.04832	-0.241447	0.151184	-0.321543	0.151184	13.0913	4.53297	1.82985	2.14193	1.33506	1.44239	6.2662	5.89039	4.30381	500	18.5454	46.8837	-110.561	2.15929	358.366	20.8818	7.40151	300	1.26535	0.725557
529	545	206.136	2.95409	96	0	0.0774436	1.28706e-05	0	252.453	5.83493	36.4282	0.0266112	0	0	301.835	36.4951	198.987	16.1805	-58.2058	33.5834	-15.591	17.8649	17.548	2.30334	-1.27588	0.413775	-3.29454	0.413775	-1.56203	0.46696	10.9609	9.23122	1.22465	3.90355	16.603	5.26462	23.2484	5.91346	49.5211	1.31567	1.4301	0.124683	-0.501187	0.124683	48.1386	1.3746	0.243678	0.130429	-0.853184	0.130429	38.324	5.16733	54.801	0.745238	-0.229285	0.110148	-0.132	0.110148	7.24852	5.30825	57.6802	2.40603	-0.0614725	0.111328	-1.33953	0.111328	84.485	8.94766	57.5637	2.21456	-1.493	0.117573	-1.47504	0.117573	80.2363	7.11404	56.0726	1.48855	-0.070552	0.133727	-0.2666	0.133727	15.669	6.86995	55.8994	1.49622	-0.231548	0.134085	-0.235108	0.134085	7.78089	6.85577	1.8775	2.12665	1.26233	1.40921	7.0296	5.64306	4.17306	116.367	60.3118	20.9615	-16.9039	0.883143	236.714	42.3871	6.52731	-47.9567	0.560235	0.748915
1003	466	165.74	7.60386	96	0	0.0709089	1.54444e-05	0	260.907	6.41833	35.5921	0.0399082	0	0	500	-0	500	-0	300	-0	300	-0	20.0284	2.04515	1.25578	0.403251	-0.259824	0.403251	1.1673	0.705558	-19.6346	27.5868	-7.13889	7.19713	24.174	7.57453	39.2215	8.26001	54.0019	1.47019	1.61753	0.127326	-0.480714	0.127326	51.9919	1.17	0.893213	0.134871	-0.222909	0.134871	18.776	8.41856	57.0129	0.909179	0.0389694	0.111534	0.12503	0.111534	-8.87752	8.70496	59.0065	0.957354	0.870915	0.112089	-0.489633	0.112089	39.0673	11.5507	58.8338	0.865885	-0.0847158	0.116357	-0.17446	0.116357	9.81729	10.8008	56.9298	0.803633	0.201715	0.114435	0.0609755	0.114435	-1.69176	12.4229	56.8627	0.799804	0.113142	0.115707	0.150935	0.115707	-11.9873	12.4467	2.11881	2.17499	1.24133	1.36832	7.16118	6.0896	4.4107	500	1.12515	39.168	300	0.832855	500	18.776	8.41856	300	0.514453	0.717522
336	610	192.309	-1.68739	96	0	0.0844001	1.84756e-05	0	242.514	8.12465	27.3328	0.0273371	0	0	123.021	12.4292	123.411	8.7777	-0.967706	11.3741	-8.96793	8.41217	13.5634	3.30991	-5.09964	0.707177	-5.90046	0.707177	-1.64454	0.671397	53.654	7.44776	7.93773	4.25546	8.92742	4.32043	19.9763	4.40198	41.0487	1.33576	1.1621	0.170402	-0.869292	0.170402	40.3558	1.64667	0.0216909	0.176611	-1.2379	0.176611	37.2508	4.71699	45.5921	0.791607	-0.136519	0.142269	-0.00113435	0.142269	4.35002	4.79012	47.5482	1.45554	-0.313039	0.138214	-1.69235	0.138214	74.7413	5.73415	47.402	1.75709	-1.99736	0.146867	-2.01666	0.146867	90.9815	5.63644	46.1986	1.8016	-0.663101	0.161506	-0.811368	0.161506	41.2483	5.56659	46.1421	1.90581	-0.491055	0.152851	-0.450514	0.152851	25.0958	5.29348	1.64877	2.20025	1.28629	1.44655	7.11526	5.82869	3.6832	57.5332	73.3411	7.99975	-16.2916	0.65516	156.1	41.7418	6.03509	-20.5726	0.58816	0.752033
533	192	213.636	1.73157	96	0	0.0530644	1.43015e-05	0	241.154	6.36485	35.6425	0.0526303	0	0	500	0	324.007	44.6321	64.0911	64.5014	114.665	45.0828	20.2527	2.31444	0.159589	0.501865	-1.92798	0.501865	0.824459	0.717544	16.4009	19.4815	-3.24243	7.538	16.2564	9.05903	73.1505	10.1516	63.6375	1.8528	0.893316	0.133177	-0.89876	0.133177	61.0762	1.63718	0.431839	0.138637	-0.701737	0.138637	45.0301	8.83717	70.5267	1.03171	-0.0536656	0.123065	-0.0254994	0.123065	4.47383	9.62013	73.5746	2.12219	0.446092	0.120696	-0.882704	0.120696	81.4126	14.721	73.4124	2.10315	-1.02884	0.127444	-1.035	0.127444	73.9743	12.9171	71.7691	1.32074	-0.145627	0.125453	-0.375837	0.125453	33.938	11.5419	71.6718	1.36421	-0.144047	0.125226	-0.175057	0.125226	4.21699	11.4761	1.7804	2.05984	1.30465	1.37652	6.73835	5.56575	4.32656	263.479	30.3579	319.937	47.662	0.809306	450.843	54.6657	12.008	117.115	0.491928	0.741085
529	66	206.107	2.10993	96	0	0.0721228	1.36826e-05	0	352.601	7.31616	44.9814	0.0240169	0	0	500	-0	500	-0	102.323	74.593	87.7782	87.3326	39.4867	2.41539	1.47137	0.24832	0.251238	0.24832	0.370382	0.465631	-104.641	33.5555	-25.6136	8.77529	41.1653	10.4794	69.0445	12.0556	100.179	1.88136	1.47881	0.100303	-0.510302	0.100303	95.6181	2.01932	0.427368	0.106937	-0.502885	0.106937	59.9053	12.4515	106.158	1.2224	-0.0663232	0.0984882	0.0274651	0.0984882	-3.15813	14.3286	109.862	1.85713	0.72559	0.0975683	-0.474857	0.0975683	67.8268	19.0431	109.507	1.77101	-0.279961	0.101846	-0.409169	0.101846	42.2808	18.3102	107.068	1.20446	0.0992944	0.101668	-0.0738458	0.101668	22.1514	20.6533	106.934	1.46572	0.0490496	0.101399	0.00341211	0.101399	-13.1911	20.7052	2.00575	1.99603	1.11266	1.18227	6.03501	5.02306	3.55651	491.558	-17.3697	70.6763	300	0.651966	353.442	52.1787	12.8748	110.053	0.383922	0.760055
1628	89	189.735	6.15838	96	0	0.0737898	1.50484e-05	0	243.51	6.97641	32.9514	0.0219068	0	0	232.681	19.0623	201.022	10.7153	145.657	18.3207	188.61	12.6511	13.6428	1.97521	-6.56092	0.557579	-8.38507	0.557579	-2.35869	0.632288	47.156	10.3674	10.0706	4.24965	2.67237	4.65227	43.4825	5.21755	42.007	1.49708	0.851302	0.140969	-1.07699	0.140969	40.6973	1.44739	0.0657941	0.145369	-0.993476	0.145369	44.5343	4.84045	44.7883	0.717879	-0.369513	0.117914	-0.301038	0.117914	13.5555	4.68615	45.9975	2.76138	-0.741938	0.125173	-1.99843	0.125173	89.0506	6.64451	45.8351	2.81254	-2.15715	0.129381	-2.09675	0.129381	97.6525	5.84216	44.5016	1.7145	-0.707801	0.123528	-0.857984	0.123528	42.9932	5.14066	44.4138	1.7571	-1.02072	0.135336	-0.99851	0.135336	32.6311	5.3246	1.85309	2.03778	1.30482	1.36181	6.49325	6.052	3.57189	189.285	116.233	90.4511	134.969	0.60522	213.346	46.1279	5.82448	233.063	0.781162	0.716826
